Row Labels,Count of replayFrom,Sum of count,Sum of TotalDelivered,Sum of TotalEvents
605313,1,2,2,2
605316,1,3,3,3
605336,1,2,2,2
605356,1,2,2,2
605364,1,2,2,2
605410,1,2,2,2
605423,1,2,2,2
605428,1,2,2,2
605432,1,2,2,2
605435,1,2,2,2
605477,1,2,3,3
605489,1,3,3,3
605522,1,3,3,3
605541,1,2,2,2
605560,1,2,2,2
605599,1,2,2,2
605642,1,2,2,2
605668,1,2,2,2
605695,1,2,2,2
605698,1,2,2,2
605701,1,3,3,3
605706,1,2,2,2
605733,1,2,2,2
605741,1,2,2,2
605748,1,2,2,2
605765,1,2,2,2
605769,1,2,2,2
605802,1,2,2,2
605810,1,2,2,2
605816,1,2,2,2
605829,1,2,2,2
605840,1,3,3,3
605845,1,2,2,2
605855,1,2,2,2
605858,1,2,2,2
605861,1,2,2,2
605864,1,2,2,2
605867,1,2,2,2
605871,1,2,2,2
605908,1,2,2,2
605945,1,2,2,2
605955,1,2,2,2
605971,1,2,2,2
605983,1,2,2,2
605997,1,3,3,3
606010,1,2,2,2
606019,1,2,2,2
606061,1,2,2,2
606075,1,2,2,2
606085,1,2,6,6
606096,1,2,2,2
606120,1,2,2,2
606123,1,3,3,3
606128,1,3,3,3
/s/notifications/readstate,22,45,79,79
216121,1,2,2,2
216122,1,2,2,2
216123,1,2,4,4
216131,1,2,4,4
216141,1,3,6,6
216297,1,2,4,4
216299,1,2,4,4
216325,1,2,4,4
216335,1,2,4,4
216347,1,2,4,4
216413,1,2,3,3
216431,1,2,4,4
216445,1,2,4,4
216475,1,2,4,4
216530,1,2,4,4
216532,1,2,4,4
216534,1,2,3,3
216567,1,2,2,2
216592,1,2,3,3
216621,1,2,2,2
216658,1,2,4,4
216723,1,2,4,4
SharedSubscriber - /event/EaasEvent,1,2,2,2
1169662,1,2,2,2
SharedSubscriber - /event/EngagementEvent,39,78,82,82
19615,1,2,2,2
19616,1,2,2,2
19617,1,2,2,2
19618,1,2,2,2
19619,1,2,2,2
19620,1,2,2,2
19621,1,2,2,2
19622,1,2,2,2
19623,1,2,2,2
19624,1,2,2,2
19625,1,2,2,2
19626,1,2,2,2
19627,1,2,2,2
19628,1,2,2,2
19629,1,2,2,2
19630,1,2,2,2
19631,1,2,2,2
19632,1,2,2,2
19633,1,2,2,2
19634,1,2,2,2
19635,1,2,2,2
19636,1,2,4,4
19638,1,2,2,2
19639,1,2,2,2
19640,1,2,2,2
19641,1,2,2,2
19642,1,2,2,2
19643,1,2,2,2
19644,1,2,2,2
19645,1,2,2,2
19646,1,2,2,2
19647,1,2,2,2
19648,1,2,2,2
19649,1,2,2,2
19650,1,2,4,4
19652,1,2,2,2
19653,1,2,2,2
19654,1,2,2,2
19655,1,2,2,2
SharedSubscriber - /event/HighVelocityEngagementEvent,149,298,304,304
1092099,1,2,2,2
1092100,1,2,2,2
1092101,1,2,2,2
1092102,1,2,2,2
1092103,1,2,2,2
1092104,1,2,2,2
