replayFrom,channelName,TotalDelivered
1017790,/event/OutboundCase__e,9
1017795,/event/OutboundCase__e,3
1017796,/event/OutboundCase__e,6
1017798,/event/OutboundCase__e,3
1017799,/event/OutboundCase__e,3
1017800,/event/OutboundCase__e,6
1017803,/event/OutboundCase__e,3
1017804,/event/OutboundCase__e,3
1017806,/event/OutboundCase__e,6
1017809,/event/OutboundCase__e,3
1017811,/event/OutboundCase__e,3
1017815,/event/OutboundCase__e,3
1017819,/event/OutboundCase__e,6
1017823,/event/OutboundCase__e,6
1017824,SharedSubscriber - /event/01I0H000002i97P,3
1017827,/event/OutboundCase__e,3
1017829,/event/OutboundCase__e,3
1017831,/event/OutboundCase__e,3
1017833,/event/OutboundCase__e,3
1017835,/event/OutboundCase__e,3
1017838,/event/OutboundCase__e,3
1017840,/event/OutboundCase__e,3
1017842,/event/OutboundCase__e,3
1017846,/event/OutboundCase__e,3
1017847,/event/OutboundCase__e,3
1017851,/event/OutboundCase__e,3
1017855,/event/OutboundCaseComment__e,3
1017857,/event/OutboundCase__e,3
1017864,/event/OutboundCase__e,6
1017868,/event/OutboundCase__e,3
1017869,/event/OutboundCase__e,3
1017870,/event/OutboundCase__e,3
1017871,/event/OutboundCase__e,3
1017872,/event/OutboundCase__e,3
1017873,/event/OutboundCase__e,3
1017875,/event/OutboundCase__e,3
1017876,/event/OutboundCase__e,3
1017880,/event/OutboundCase__e,3
1017883,/event/OutboundCase__e,3
1017884,/event/OutboundCase__e,3
1017886,/event/OutboundCase__e,3
1017888,/event/OutboundCase__e,3
1017892,/event/OutboundCase__e,3
1017893,/event/OutboundCase__e,3
1017894,/event/OutboundCase__e,3
1017896,/event/OutboundCase__e,3
1017898,/event/OutboundCase__e,3
1017899,/event/OutboundCase__e,3
1017900,/event/OutboundCase__e,3
1017901,/event/OutboundCase__e,3
1017904,/event/OutboundCase__e,6
1017908,/event/OutboundCase__e,6
1017910,/event/OutboundCase__e,9
1017916,/event/OutboundCase__e,3
1017920,/event/OutboundCase__e,6
1017922,/event/OutboundCase__e,3
1017924,/event/OutboundCase__e,3
1017925,/event/OutboundCase__e,3
1017928,/event/OutboundCase__e,3
1017932,/event/OutboundCaseComment__e,3
1017936,/event/OutboundCase__e,3
1017938,/event/OutboundCaseComment__e,3
1017940,/event/OutboundCase__e,3
1017941,/event/OutboundCaseComment__e,3
1017943,/event/OutboundCase__e,3
1017945,/event/OutboundCase__e,3
1017946,/event/OutboundCase__e,3
1017948,/event/OutboundCase__e,3
1017951,/event/OutboundCase__e,3
1017952,/event/OutboundCase__e,3
1017953,/event/OutboundCase__e,3
1017956,/event/OutboundCase__e,6
1017958,/event/OutboundCase__e,3
1017960,/event/OutboundCaseComment__e,3
1017961,/event/OutboundCase__e,3
1017962,/event/OutboundCase__e,3
1017964,/event/OutboundCase__e,6
1017970,/event/OutboundCase__e,3
1017971,/event/OutboundCase__e,3
1017973,/event/OutboundCase__e,3
1017974,/event/OutboundCase__e,3
1017975,/event/OutboundCase__e,6
1017978,/event/OutboundCase__e,6
1017981,/event/OutboundCase__e,3
1017983,/event/OutboundCase__e,3
1017987,/event/OutboundCase__e,3
1017989,/event/OutboundCase__e,3
1017991,/event/OutboundCase__e,6
1017993,/event/OutboundCase__e,3
1017996,/event/OutboundCase__e,6
1018003,/event/OutboundCase__e,3
1018005,/event/OutboundCase__e,3
1018009,/event/OutboundCase__e,3
1018010,/event/OutboundCase__e,3
1018011,/event/OutboundCase__e,3
1018012,/event/OutboundCase__e,3
1018014,/event/OutboundCase__e,3
1018018,/event/OutboundCase__e,3
1018023,/event/OutboundCase__e,3
1018024,/event/OutboundCase__e,3
1018027,/event/OutboundCase__e,3
1018029,/event/OutboundCase__e,3
1018030,/event/OutboundCaseComment__e,3
1018031,/event/OutboundCase__e,3
1018033,/event/OutboundCase__e,3
1018036,/event/OutboundCase__e,6
1018038,/event/OutboundCase__e,3
1018041,/event/OutboundCase__e,3
1018043,/event/OutboundCase__e,3
1018047,/event/OutboundCase__e,3
1018049,/event/OutboundCase__e,3
1018053,/event/OutboundCase__e,6
1018055,/event/OutboundCase__e,3
1018058,/event/OutboundCase__e,3
1018060,/event/OutboundCase__e,6
